source_area,linz_suburb,status,via,reason_if_not_mapped
Otahuhu East,Ōtāhuhu,mapped,stem,
Otahuhu North,Ōtāhuhu,mapped,stem,
Otahuhu West,Ōtāhuhu,mapped,stem,
Otara East,Ōtara,mapped,stem,
Otara North,Ōtara,mapped,stem,
Otara South,Ōtara,mapped,stem,
Otara West,Ōtara,mapped,stem,
Otimai,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Owairaka East,Mount Albert,mapped,previous-mapping,
Owairaka West,Mount Albert,mapped,previous-mapping,
Paerata-Cape Hill,,not mapped,,outer Auckland — outside coverage area
Pahurehure,,not mapped,,outer Auckland — outside coverage area
Pakuranga Central,Pakuranga,mapped,stem,
Pakuranga East,Pakuranga,mapped,stem,
Pakuranga North,Pakuranga,mapped,stem,
Palm Heights,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Panmure Basin,Panmure,mapped,previous-mapping,
Papakura Central,,not mapped,,outer Auckland — outside coverage area
Papakura East,,not mapped,,outer Auckland — outside coverage area
Papakura North,,not mapped,,outer Auckland — outside coverage area
Papakura North East,,not mapped,,outer Auckland — outside coverage area
Papakura South,,not mapped,,outer Auckland — outside coverage area
Paparata,,not mapped,,outer Auckland — outside coverage area
Papatoetoe Central,Papatoetoe,mapped,stem,
Papatoetoe East,Papatoetoe,mapped,stem,
Papatoetoe North,Papatoetoe,mapped,stem,
Papatoetoe West,Papatoetoe,mapped,stem,
Parakai Rural,,not mapped,,outer Auckland — outside coverage area
Parakai Urban,,not mapped,,outer Auckland — outside coverage area
Paremoremo East,Pāremoremo,mapped,stem,
Paremoremo West,Pāremoremo,mapped,stem,
Parnell East,Parnell,mapped,stem,
Parnell West,Parnell,mapped,stem,
Parrs Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Parrs Park West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Patumahoe,,not mapped,,outer Auckland — outside coverage area
Penrose,Penrose,mapped,exact,
Pigeon Mountain North,Howick,mapped,previous-mapping,
Pigeon Mountain South,Howick,mapped,previous-mapping,
Pinehill,Pinehill,mapped,exact,
Point Chevalier East,Point Chevalier,mapped,stem,
Point Chevalier South,Point Chevalier,mapped,stem,
Point Chevalier West,Point Chevalier,mapped,stem,
Point England,Point England,mapped,exact,
Point View,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Ponsonby East,Ponsonby,mapped,stem,
Ponsonby West,Ponsonby,mapped,stem,
Puhinui North,Wiri,mapped,manual,
Puhinui South,Wiri,mapped,manual,
Pukekohe North,,not mapped,,outer Auckland — outside coverage area
Pukekohe West,,not mapped,,outer Auckland — outside coverage area
Randwick Park,Randwick Park,mapped,exact,
Ranui Domain,Massey,mapped,previous-mapping,
Ranui South,Rānui,mapped,stem,
Red Beach East,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Red Beach West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Red Hill,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Redoubt East,,not mapped,,outer Auckland — outside coverage area
Redoubt North,,not mapped,,outer Auckland — outside coverage area
Redoubt South,,not mapped,,outer Auckland — outside coverage area
Remuera South,Remuera,mapped,stem,
Remuera West,Remuera,mapped,stem,
Rewarewa,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Rewiti,,not mapped,,outer Auckland — outside coverage area
Riverhead,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Riverhead Urban,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Roberton,Henderson,mapped,previous-mapping,
Rongomai,Ōtara,mapped,previous-mapping,
Rosebank,Avondale,mapped,previous-mapping,
Rosehill,,not mapped,,outer Auckland — outside coverage area
Rothesay Bay,Rothesay Bay,mapped,exact,
Rowandale,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Royal Heights,Massey,mapped,previous-mapping,
Royal Oak,Royal Oak,mapped,exact,
Royal Road West,Massey,mapped,previous-mapping,
Runciman,,not mapped,,outer Auckland — outside coverage area
Sandringham East,Sandringham,mapped,stem,
Sandringham North,Sandringham,mapped,stem,
Sandringham West,Sandringham,mapped,stem,
Seacliffe,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Shelly Park,Shelly Park,mapped,exact,
Sherbourne,Glenfield,mapped,previous-mapping,
Silverdale Central,,not mapped,,outer Auckland — outside coverage area
Silverdale North,,not mapped,,outer Auckland — outside coverage area
Silverdale South,,not mapped,,outer Auckland — outside coverage area
Snells Beach,,not mapped,,outer Auckland — outside coverage area
South Head,,not mapped,,outer Auckland — outside coverage area
South Waiuku,,not mapped,,outer Auckland — outside coverage area
Springleigh,,not mapped,,outer Auckland — outside coverage area
St Heliers,Saint Heliers,mapped,exact,
St Johns,St Johns,mapped,exact,
St Lukes,Mount Albert,mapped,manual,
St Lukes North,Mount Albert,mapped,manual,
St Marys,Ponsonby,mapped,previous-mapping,
Stanley Bay,Devonport,mapped,previous-mapping,
Stanmore Bay East,,not mapped,,outer Auckland — outside coverage area
Stanmore Bay West,,not mapped,,outer Auckland — outside coverage area
Starling Park,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Stillwater,,not mapped,,outer Auckland — outside coverage area
Stonefields,Stonefields,mapped,exact,
Sturges North,Massey,mapped,previous-mapping,
Sunnybrae,Takapuna,mapped,previous-mapping,
Sunnyhills,Sunnyhills,mapped,exact,
Sunnynook,Sunnynook,mapped,exact,
Sunnyvale,Sunnyvale,mapped,exact,
Surrey Crescent,Grey Lynn,mapped,previous-mapping,
Swanson,Swanson,mapped,exact,
Swanson South,Swanson,mapped,stem,
Tahekeroa,,not mapped,,outer Auckland — outside coverage area
Takanini North,Takanini,mapped,stem,
Takanini South,Takanini,mapped,stem,
Takanini West,Takanini,mapped,stem,
Takapuna Central,Takapuna,mapped,stem,
Tamaki,Glen Innes,mapped,previous-mapping,
Tangutu,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Target Road,Glenfield,mapped,previous-mapping,
Tauhoa-Puhoi,,not mapped,,outer Auckland — outside coverage area
Taupaki,,not mapped,,outer Auckland — outside coverage area
Te Atatu Central,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Te Papapa,Onehunga,mapped,previous-mapping,
Three Kings,Three Kings,mapped,exact,
Tidal-Eastern Bays,,not mapped,,water body / inlet / island
Titirangi South,Titirangi,mapped,stem,
Torbay,Torbay,mapped,exact,
Totara Heights,Totara Heights,mapped,exact,
Tuff Crater,Takapuna,mapped,previous-mapping,
Turanga,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Unsworth Heights,Unsworth Heights,mapped,exact,
Urlich,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Vipond,,not mapped,,outer Auckland — outside coverage area
Viscount,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Wade Heads,,not mapped,,outer Auckland — outside coverage area
Waiake,Waiake,mapped,exact,
Waiata,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waikowhai East,Mount Roskill,mapped,previous-mapping,
Waikowhai West,Mount Roskill,mapped,previous-mapping,
Waima,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waimauku,,not mapped,,outer Auckland — outside coverage area
Waimumu North,,not mapped,,outer Auckland — outside coverage area
Waimumu South,,not mapped,,outer Auckland — outside coverage area
Waipareira West,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waitakere,Waitākere,mapped,exact,
Waitakere West,Waitākere,mapped,stem,
Waitaramoa,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Waiuku East,,not mapped,,outer Auckland — outside coverage area
Waiuku West,,not mapped,,outer Auckland — outside coverage area
Wakeling,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Walmsley,Three Kings,mapped,previous-mapping,
Warkworth,,not mapped,,outer Auckland — outside coverage area
Waterview,Waterview,mapped,exact,
Wattle Farm,,not mapped,,outer Auckland — outside coverage area
Weiti River,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Wellsford,,not mapped,,outer Auckland — outside coverage area
Wesley,Wesley,mapped,exact,
West Harbour,West Harbour,mapped,exact,
Westgate,Westgate,mapped,exact,
Westlake,Albany,mapped,previous-mapping,
Westmere,Westmere,mapped,exact,
Weymouth East,Weymouth,mapped,stem,
Weymouth West,Weymouth,mapped,stem,
Whangapouri Creek,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Whenuapai West,Whenuapai,mapped,stem,
Windsor Park,Windsor Park,mapped,exact,
Windy Ridge,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Wiri,Wiri,mapped,exact,
Witheford,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Woodglen,,not mapped,,outside 62 suburb coverage — small area or low rental activity
Wymondley,,not mapped,,outside 62 suburb coverage — small area or low rental activity
